query;find_id;session_id;position
"older woman with almost ginger hair";6035;--Z_D_rC;842
"facelift, mother-in-law, professor, rosemary, aunt";6035;--Z_D_rC;218
"hyacinth, rosemary, mother-in-law, stepmother, politician";6035;--Z_D_rC;82
"club with blue lights";7682;--Z_D_rC;37
"subtitles, love.Frame";3102;--Z_D_rC;6
"animal in dark";9180;--Z_D_rC;32
"massage from woman";1181;--Z_D_rC;217
"massage, nursing, counseling, technique, treatment, scalp";1181;--Z_D_rC;84
"massage, nursing, counseling, treatment, midwife";1181;--Z_D_rC;46
"crying woman with dark hair, window";8378;--Z_D_rC;832
"blouse, schizophrenic, expression, mirror";8378;--Z_D_rC;268
"blouse, nightgown, handmaiden, girl";8378;--Z_D_rC;308
"man with grey hair next to computer ";8687;--Z_D_rC;390
"technologist, network, hackwork, programming, browsing, computer, technician";8687;--Z_D_rC;183
"gnu, technologist, programming, hiring, software, computer";8687;--Z_D_rC;85
"barbecue, branch";1840;--Z_D_rC;16
"two boys looking in class";4329;--Z_D_rC;40
"man in front of computer";8956;--Z_D_rC;17
"two girls in club";3558;--Z_D_rC;11
"man with red orgament";3977;--Z_D_rC;116
"cannibal, polyester, parachute";3977;--Z_D_rC;13
"two girls under tree";838;--Z_D_rC;504
"handmaiden, picnic, pond, episode, clove";838;--Z_D_rC;173
"feeding, episode, sensibility, movie, video, surrounds, boyhood";838;--Z_D_rC;240
"boy with papers";8486;--Z_D_rC;7
"older couple";2315;--Z_D_rC;13
"couple in dark";7479;--Z_D_rC;10
"graffiti on wall";7581;--Z_D_rC;191
"painter, painting, paintwork";7581;--Z_D_rC;169
"graffiti, creative, chasm";7581;--Z_D_rC;141
"older woman with glass of wine";5947;--Z_D_rC;2
"man, grandma and boy in celler";9138;--Z_D_rC;43
"subtitles, logo, AVG";8637;--Z_D_rC;4
"barbecue, stick";1838;--Z_D_rC;1294
"lobster, crawdad, crayfish, cannibal";1838;--Z_D_rC;429
"cannibal, barbecue, butcher, meat, kielbasa";1838;--Z_D_rC;326
"older balding man";7977;--Z_D_rC;28
"older man in suit in celler";5912;--Z_D_rC;40
"man and woman drinking";137;--Z_D_rC;168
"dinner, in-laws, communion, marriage";137;--Z_D_rC;15
"wood, foresty";214;--Z_D_rC;77
"lumberman, forestry, lumber, saw, log";214;--Z_D_rC;27
"man climbing to roof";1215;--Z_D_rC;23
"man next to wall, windy";1696;--Z_D_rC;43
"man with red ornaments";3959;--Z_D_rC;441
"cannibal, polyester, parachute, bandana";3959;--Z_D_rC;24
"city from airplane";8527;--Z_D_rC;3
"illusion of tree";870;--Z_D_rC;92
"canopy, descent, seaweed, leaf, vegetation, orange";870;--Z_D_rC;6
"man on toilet";7531;--Z_D_rC;22
"subtitles, logo, movie end, red point";8598;--Z_D_rC;54
"woman with makeup, dark hair";7405;--Z_D_rC;212
"outside, high ponytail";7405;--Z_D_rC;161
"actress, girlfriend, woman, lipstick";7405;--Z_D_rC;80
"woman looking to man, drinking";3374;--Z_D_rC;196
"technician, window, white";3374;--Z_D_rC;114
"bottle, man, older man";3374;--Z_D_rC;110
"older man with cap in dark, fence";698;--Z_D_rC;26
"older man in red sweater, cash machine";11475;--Z_D_rC;1
"man looking to mirror";9883;--Z_D_rC;67
"bartender, drinking, cupboard, cloakroom";9883;--Z_D_rC;7
"older woman with heavy makeup";4248;--Z_D_rC;30
"man eating chicken";144;--Z_D_rC;5
"boy with injury on his face, office";4477;--Z_D_rC;136
"spotlight, copying, serial, wiretap, hiring, investigation, filing";4477;--Z_D_rC;71
"copying, investigation, deposition, consulting, screenwriting, counseling, publishing, filing, writer";4477;--Z_D_rC;70
"house party, man with beard";7194;--Z_D_rC;99
"artifact, laugh, beard, counterpart, cuckoo, grin, drinking";7194;--Z_D_rC;24
"two children playing in sand";10202;--Z_D_rC;10
"red graffiti";3658;--Z_D_rC;61
"drawing, fix";3658;--Z_D_rC;16
"boy in taxi with driver";4952;--Z_D_rC;202
"money, chauffeur, taxicab, deposition";4952;--Z_D_rC;100
"gambling, transaction, ticket, receipt, allowance, arrest, taxi";4952;--Z_D_rC;84
"woman behind fence ";2917;--Z_D_rC;60
"boy drawing";8108;--Z_D_rC;2
"massage";815;--Z_D_rC;8
"man in suit, drinking";11282;--Z_D_rC;51
"two boys arguing";6869;--Z_D_rC;211
"dark, drive, talking, dialogue";6869;--Z_D_rC;11
"older man with long beard";3795;--Z_D_rC;6
"man looking at Christ";10440;--Z_D_rC;4
"church";10342;--Z_D_rC;9
"illusion of deer";2416;--Z_D_rC;13
"darker forest, tree on ground";1743;--Z_D_rC;4
"older man with hat, grass";994;--Z_D_rC;4
"man in dark shirt, door";8772;--Z_D_rC;3
"angry man with keys";3223;--Z_D_rC;3
"man with hat";9818;--Z_D_rC;135
"beret, turban, yarmulke";9818;--Z_D_rC;6
"woman aggressively eating bread ";198;--Z_D_rC;263
"brown hair, gloves, forest";198;--Z_D_rC;101
"older woman, weird face ";198;--Z_D_rC;36
"barbecue, group of teens";1427;--Z_D_rC;6
"two old woman";10718;--Z_D_rC;48
"sunset, silluet";10151;--Z_D_rC;109
"singular, somersault, nerve, handmaiden, possession";10151;--Z_D_rC;37
"man with paint on face";9404;--Z_D_rC;282
"dark, black";9404;--Z_D_rC;145
"man with black paint on face";9404;--Z_D_rC;64
"sad looking boy";6596;--Z_D_rC;67
"drive, parachute, boyhood, elixir, hobbit";6596;--Z_D_rC;94
"sleepiness, nick, sideburns";6596;--Z_D_rC;68
"older man with glasses";4710;--Z_D_rC;141
"class, researcher, professor, writer";4710;--Z_D_rC;95
"philosopher, interviewer, director, professor";4710;--Z_D_rC;59
"older woman with earing";4536;--Z_D_rC;214
"red shirt, mother-in-law, godmother, menopause";4536;--Z_D_rC;85
"stepmother, mother-in-law, ex-wife, hyacinth, carol, menopause, mother, casserole";4536;--Z_D_rC;101
"man in shop";6735;--Z_D_rC;113
"grey shirt, store, soda";6735;--Z_D_rC;7
"subtitles, movie, film, HOSTE";8556;--Z_D_rC;774
"cinema, documentary, script, cast, black and white";8556;--Z_D_rC;337
"subtitle, transcript, name, list, DAVID";8556;--Z_D_rC;366
"older teacher with glasses";3238;--Z_D_rC;95
"woman, lipstick";3238;--Z_D_rC;14
"subtitles, LOKACE, movie, names, list";8582;--Z_D_rC;291
"black and white, FOTOGRAF";8582;--Z_D_rC;245
"name, documentary, resume, list, LOKACE, KRESBY";8582;--Z_D_rC;339
"club, two man talking";7172;--Z_D_rC;59
"man in class, sad looking";7541;--Z_D_rC;53
"landscape, autumn ";1031;--Z_D_rC;77
"fog";1031;--Z_D_rC;66
"fog, landscape, autumn";1031;--Z_D_rC;57
"teen boy with red shirt";3639;--Z_D_rC;49
"church, trees, clouds";1718;--Z_D_rC;1
"man in window";900;--Z_D_rC;2068
