"two sculptures of face";7847;test_n;1;1
"wedding photo";4008;test_n;105;0
"wedding photo, couple, bride, ceremony";4008;test_n;446;0
"surfing";16946;test_n;85;0
"two sculptures of face";7847;test_n;1;1
"wedding photo";4008;test_n;105;0
"wedding photo of bride and groom, partner, romance, couple";4008;test_n;281;0
"surfing";16946;test_n;85;0
"surfing, surfboard, wave, transition, tsunami";16946;test_n;64;0
"motorcycle race";9028;test_n;1;1
"groom";1155;test_n;271;0
"groom, suit, corsage";1155;test_n;50;1
"underwater photo of sand bed";17746;test_n;11;1
"montoro";783;test_n;1;1
"purple photo";8446;test_n;85;0
"purple photo, pink, light";8446;test_n;28;1
"terapy, man sitting on sofa";14537;test_n;604;0
"man in green jacket sitting on sofa, interview, speaking";14537;test_n;9;1
"mountains";14630;test_n;137;0
"mountains, alpenhorn, wind, sky, altitude";14630;test_n;8;1
"old photo of man sitting on couch";6379;test_n;19;1
"sandy beach with small car";15575;test_n;609;0
"sandy beach with small car, dune buggy, gliding";15575;test_n;59;1
"interview with man with glasses";8965;test_n;247;0
"interview with man with glasses, subtitle, geek, interview";8965;test_n;70;0
"two riders, motorcycle";12693;test_n;29;1
"dead look, man in dark";8941;test_n;74;0
"dead look, man in dark, agent, detective, spy";8941;test_n;45;1
"shop with pink ballons";12742;test_n;14;1
"clouds with shining thing";1664;test_n;227;0
"clouds with shining thing, universe, space";1664;test_n;22;1
"children";2523;test_n;79;0
"children, three boys";2523;test_n;1;1
"Tate, 7, small girl";19890;test_n;1;1
"sitting man with purple shirt";2944;test_n;2;1
"videoclip, man in dark clothes";15936;test_n;215;0
"videoclip, man in dark clothes, singer, pump";15936;test_n;43;1
"subttiles, end of movie";3019;test_n;47;1
"woman in white tanktop looking away, black and white";11904;test_n;6;1
"american flag";5241;test_n;7;1
"party with red lights";12801;test_n;152;0
"party with red lights, nightclub, club, nectar, fabric";12801;test_n;171;0
"bonus footage, skiing";9381;test_n;1;1
"mountains with snow, sunset";11061;test_n;8;1
"cooking, raw meat, knife, hands";13399;test_n;4;1
"island with sea and palms";5067;test_n;1;1
"cooking, man in orange shirt";3035;test_n;10;1
"small dark girl, outside";10524;test_n;13;1
"small boy and man playing around";17273;test_n;1;1
"snowboarder in air";12112;test_n;8;1
"man and a lot of books and small statue";16355;test_n;511;0
"man and a lot of books, smile, bookcase, shelf";16355;test_n;41;1
"mountains and trees in the mist";5570;test_n;1;1
"trumpet players on field";2253;test_n;2;1
"theater crowd whating film";12736;test_n;7;1
"religion stuff";8797;test_n;834;0
"religion stuff, candle, decoration, offering";8797;test_n;7;1
"two doors";18719;test_n;9;1
"bird in water";14587;test_n;137;0
"bird in water, porpoise";14587;test_n;1;1
"beach with small airplane";2546;test_n;16;1
"blurry photo of snow and forest";11901;test_n;329;0
"blurry photo of snow and forest, snowboarding, snowskates";11901;test_n;39;1
"detail of tree and car behind it";13744;test_n;401;0
"detail of tree and car behind it, windshield, dashboard, vehicle, bark";13744;test_n;183;0
"small animated creater, greyish background";4729;test_n;17;1
"man sitting next to mixer";8056;test_n;88;0
"man sitting next to music mixer, radio, recording";8056;test_n;1;1
"polition in tv, grey hair, older man";13772;test_n;1031;0
"polition in tv, grey hair, man, host, interview";13772;test_n;250;0
"girl in interview, blue shirt, long hair";7419;test_n;5;1
"skiing in forest";5950;test_n;1;1
"part of man face, selfie";16813;test_n;1300;0
"part of men face, selfie, tree, roof";16813;test_n;38;1
"sun panel in field";1006;test_n;19;1
"title ferrie on black background";898;test_n;2;1
"man with cigarette";6670;test_n;6;1
"window with ";19946;test_n;3;1
"man with camera in mountains";2075;test_n;4;1
"biker with backpack inside";11450;test_n;1174;0
"two men in green shirt, man in biker clothes with backpack and helmet";11450;test_n;204;0
"wedding photo in detail, groom and bride";9074;test_n;18;1
"woman in hurry with colorful clothes and long dark hairs";4436;test_n;12;1
"bridge";3068;test_n;184;0
"bridge, rowing, water";3068;test_n;69;0
"tractor between white houses";6546;test_n;1;1
"snowboard park, snow, falling snowboarder";9408;test_n;57;1
"snowboarder in mountains";3809;test_n;314;0
"hiker in snow in mountains";3809;test_n;621;0
"gardening";8354;test_n;3;1
"computer program, music editor";17558;test_n;7;1
"country dancers on the street";4056;test_n;1;1
"crowd on the street";3387;test_n;482;0
"crowd on the street, walking, gathering, mall, street";3387;test_n;879;0
"three roads";12863;test_n;3479;0
"three different photo of roads";12863;test_n;420;0
"russian word on green background";14202;test_n;4;1
"singer";543;test_n;754;0
"singer, rise, performance, microphone";543;test_n;21;1
"car race";1985;test_n;10;1
"bikers in mountains";7782;test_n;18;1
"music by Sytex";10924;test_n;1;1
"fuzzy photo of beach";15085;test_n;23;1
"dancer in shiny dress";11022;test_n;28;1
"forest";3682;test_n;97;0
"forest, bike, trail";3682;test_n;48;1
"photo from plane to forest";8541;test_n;399;0
"photo from plane of forest, forestry, overflight";8541;test_n;170;0
"chairs";2134;test_n;615;0
"chairs in theater, seat";2134;test_n;4;1
"arguing woman";11577;test_n;476;0
"arguing woman in purple shirt, spokeswoman";11577;test_n;41;1
"white car in dark";4094;test_n;67;0
"white car in night";4094;test_n;14;1
"photo from biker race";16476;test_n;725;0
"photo from cyclist race, bicycle, racing";16476;test_n;20;1
"skatepark";10432;test_n;46;1
"black flowers";17507;test_n;1;1
"stairs next to wall";705;test_n;166;0
"stairs next to wall, handrail, person";705;test_n;215;0
