query;find_id;session_id;position;same_video
"two sculptures of face";7847;test_n;1;1
"wedding photo";4008;test_n;604;0
"wedding photo of bride and groom, ceremony";4008;test_n;523;0
"surfing";16946;test_n;215;0
"surfing, wave, surfboard";16946;test_n;247;0
"motorcycle race";9028;test_n;58;1
"groom";1155;test_n;519;0
"groom, waiter, gentleman";1155;test_n;124;0
"underwater photo of sand bed";17746;test_n;194;0
"underwater photo of sand bed, light blue photo";17746;test_n;169;0
"montoro";783;test_n;1;1
"purple photo";8446;test_n;30;1
"terapy, man sitting on sofa";14537;test_n;342;0
"man in green jacket sitting on sofa";14537;test_n;31;1
"mountains";14630;test_n;68;0
"mountains, altitude";14630;test_n;24;1
"old photo of man sitting on couch";6379;test_n;38;1
"sandy beach with small car";15575;test_n;211;0
"sandy beach with small car, dune buggy, gliding";15575;test_n;39;1
"interview with man with glasses";8965;test_n;183;0
"interview with man with glasses, pantology, detainee";8965;test_n;2;1
"two riders, motorcycle";12693;test_n;10;1
"dead look, man in dark";8941;test_n;3;1
"shop with pink ballons";12742;test_n;115;0
"shop with pink ballons, vendor, akula";12742;test_n;3;1
"clouds with shining thing";1664;test_n;111;0
"clouds with shining thing, space";1664;test_n;14;1
"children";2523;test_n;240;0
"children, three boys, kid";2523;test_n;48;1
"Tate, 7, small girl";19890;test_n;1;1
"sitting man with purple shirt";2944;test_n;1;1
"videoclip, man in dark clothes";15936;test_n;1;1
"subttiles, end of movie";3019;test_n;400;0
"end of movie, script, poem";3019;test_n;322;0
"woman in white tanktop looking away, black and white";11904;test_n;2;1
"american flag";5241;test_n;5;1
"party with red lights";12801;test_n;131;0
"party with red lights, nightclub, nightlife";12801;test_n;164;0
"bonus footage, skiing";9381;test_n;1;1
"mountains with snow, sunset";11061;test_n;14;1
"cooking, raw meat, knife, hands";13399;test_n;3;1
"island with sea and palms";5067;test_n;1;1
"cooking, man in orange shirt";3035;test_n;46;1
"small dark girl, outside";10524;test_n;373;0
"small dark girl, outside, playground, play";10524;test_n;2;1
"small boy and man playing around";17273;test_n;10;1
"snowboarder in air";12112;test_n;37;1
"man and a lot of books and small statue";16355;test_n;511;0
"smiling man before a lot of books, bookcase, shelf, author";16355;test_n;8;1
"mountains and trees in the mist";5570;test_n;1;1
"trumpet players on field";2253;test_n;3;1
"theater crowd whating film";12736;test_n;1;1
"religion stuff";8797;test_n;3473;0
"religion stuff, offering, decoration";8797;test_n;30;1
"two doors";18719;test_n;2;1
"bird in water";14587;test_n;82;0
"bird in water, porpoise";14587;test_n;1;1
"beach with small airplane";2546;test_n;4;1
"blurry photo of snow and forest";11901;test_n;29;1
"detail of tree and car behind it";13744;test_n;112;0
"detail of tree and car behind it, walking";13744;test_n;42;1
"small animated creater, greyish background";4729;test_n;103;0
"small animated creater, greyish background, width, postfix";4729;test_n;5;1
"man sitting next to mixer";8056;test_n;6;1
"polition in tv, grey hair, older man";13772;test_n;69;0
"polition in tv, grey hair, older man, interviewer, interview, tie";13772;test_n;8;1
"girl in interview, blue shirt, long hair";7419;test_n;9;1
"skiing in forest";5950;test_n;2;1
"part of man face, selfie";16813;test_n;3275;0
"part of man face, selfie, canopy, roof, tree";16813;test_n;1;1
"sun panel in field";1006;test_n;1;1
"title ferrie on black background";898;test_n;949;0
"title on black background, uniformity, ferrie";898;test_n;61;0
"man with cigarette";6670;test_n;692;0
"man with cigarette, movie, dealing";6670;test_n;328;0
"window with ";19946;test_n;9;1
"man with camera in mountains";2075;test_n;116;0
"man with camera in rocky brown mountains, sunset, photographer";2075;test_n;1;1
"biker with backpack inside";11450;test_n;4484;0
"two men in green shirt, man in biker clothes with backpack and helmet, inspection";11450;test_n;96;0
"wedding photo in detail, groom and bride";9074;test_n;94;0
"wedding photo in detail, groom and bride, wedding, engagement, veil";9074;test_n;117;0
"woman in hurry with colorful clothes and long dark hairs";4436;test_n;9;1
"bridge";3068;test_n;16;1
"tractor between white houses";6546;test_n;2;1
"snowboard park, snow, falling snowboarder";9408;test_n;104;0
"snowboard park, snow, falling snowboarder, jed sky, snowboarding, ski";9408;test_n;16;1
"snowboarder in mountains";3809;test_n;440;0
"hiker in snow in mountains, avalanche, altitude";3809;test_n;184;0
"gardening";8354;test_n;41;1
"computer program, music editor";17558;test_n;3;1
"country dancers on the street";4056;test_n;1;1
"crowd on the street";3387;test_n;1378;0
"crowd on the street, handball, manifestation";3387;test_n;99;0
"three roads";12863;test_n;480;0
"three different photos of road, drizzle";12863;test_n;60;1
"russian word on green background";14202;test_n;1;1
"singer";543;test_n;28;1
"car race";1985;test_n;4;1
"bikers in mountains";7782;test_n;114;0
"bicycles in mountains, bike, riding, tusk";7782;test_n;19;1
"music by Sytex";10924;test_n;1;1
"fuzzy photo of beach";15085;test_n;4;1
"dancer in shiny dress";11022;test_n;73;0
"dancer in shiny dress, nightclub, dancing";11022;test_n;15;1
"forest";3682;test_n;70;0
"forest, nature, bike, riding";3682;test_n;37;1
"photo from plane to forest";8541;test_n;142;0
"photo from plane to forest, gliding, landing";8541;test_n;21;1
"chairs";2134;test_n;575;0
"chairs in auditorium";2134;test_n;4;1
"arguing woman";11577;test_n;787;0
"arguing woman in purple shirt, spokeswoman, counselor";11577;test_n;32;1
"white car in dark";4094;test_n;29;1
"photo from biker race";16476;test_n;638;0
"photo from cyclist race, riding, racing";16476;test_n;21;1
"skatepark";10432;test_n;94;0
"skatepark, skating, skate, skill, bowl";10432;test_n;137;0
"black flowers";17507;test_n;1;1
"stairs next to wall";705;test_n;63;0
"stairs next to wall, ladder";705;test_n;12;1
